recall,size,tree_nums
0.22923,1940132.84375,10
0.3276799999999999,1997581.21875,20
0.388589999999999,2054600.3125,30
0.4328000000000001,2111732.375,40
0.4767700000000002,2168781.59375,50
0.5145000000000008,2225853.40625,60
0.5432900000000006,2282827.3125,70
0.5745199999999996,2339816.28125,80
0.59204,2396526.59375,90
0.6144199999999996,2453816.8125,100
0.6293900000000004,2510835.90625,110
0.6288300000000004,2567591.40625,120
0.6442500000000007,2624708.40625,130
0.6610700000000003,2681765.15625,140
0.6863500000000003,2738987.59375,150
