recall,size,tree_nums
0.7625100000000005,191594.8125,10
0.8760900000000036,198465.1875,20
0.9271100000000044,205280.15625,30
0.9448400000000048,212107.4375,40
0.9602000000000036,219014.75,50
0.9675000000000036,225860.5,60
0.9712200000000036,232730.875,70
0.9751200000000038,239638.1875,80
0.9781100000000028,246644.0,90
0.9809000000000024,253532.84375,100
0.9840500000000024,260427.84375,110
0.9837200000000026,267273.59375,120
0.9885100000000026,274174.75,130
0.9871400000000016,280971.25,140
0.9866500000000016,287761.59375,150
