,query_time,recall,QPS,build_time
0,0.0017476580142974853,0.09831000000000001,572.1943262463594,0.45439577102661133
1,0.002306467294692993,0.1981700000000001,433.56348572595175,0.8476395606994629
2,0.004378130912780762,0.2724600000000005,228.40797132876318,0.9351499080657959
3,0.003579526424407959,0.3193000000000004,279.3665645771553,1.21397066116333
4,0.005462237358093262,0.38126999999999994,183.07516397439682,1.1917765140533447
5,0.006081281423568725,0.4095200000000003,164.43902696632026,1.3940443992614746
6,0.006657949686050415,0.4435899999999998,150.19638885153748,1.5051093101501465
7,0.007256568193435669,0.47326000000000096,137.80618790361612,1.6296002864837646
8,0.008180898427963258,0.48566,122.23596329981122,1.8032217025756836
9,0.009060401439666748,0.5156599999999999,110.3703855352331,2.0008862018585205
10,0.009726767539978027,0.5316199999999996,102.80907772185323,2.1478652954101562
11,0.010299538135528565,0.5521300000000003,97.09173235161586,2.2963078022003174
12,0.011026367425918579,0.5599099999999994,90.69169939407243,2.3591864109039307
13,0.011881810665130615,0.5741099999999997,84.16225676232042,2.594611883163452
14,0.012649168252944947,0.5859599999999999,79.05658142915307,2.6225907802581787
