,query_time,recall,QPS,build_time
0,0.0011354086399078369,0.33309999999999995,880.7401712930173,110.52334570884705
1,0.0009398555755615234,0.36347999999999997,1063.9932623717668,127.88139152526855
2,0.0009539306163787841,0.37661000000000017,1048.2942709146917,138.4963023662567
3,0.0010059902667999268,0.6441400000000005,994.0454028258325,649.5500700473785
4,0.0009948036670684814,0.6826000000000007,1005.2234758511006,716.2532787322998
5,0.0010183234214782716,0.7163600000000007,982.0062849466116,763.0679626464844
6,0.0010674638748168945,0.7226300000000001,936.7998520526356,770.1101026535034
7,0.0011348648071289062,0.744200000000001,881.162226300681,801.0951745510101
8,0.0011609442234039307,0.7543399999999991,861.3678244317058,796.9734239578247
9,0.001184016466140747,0.7551999999999991,844.5828488006242,782.2519972324371
10,0.0012698290348052978,0.7714199999999999,787.5075877071353,790.6364588737488
11,0.001283470869064331,0.7790099999999992,779.1372785336488,788.213392496109
12,0.0013039274215698243,0.7800600000000004,766.9138507694547,785.4521737098694
13,0.0013239390850067138,0.7876900000000002,755.3217601359121,814.0390093326569
14,0.0013676822185516358,0.7934500000000001,731.1639987971707,766.9926867485046
